City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,6.79,70,40,2.06,AR,1670291287
1,atuona,-9.8,-139.0333,25.39,74,36,6.43,PF,1670291423
2,mar del plata,-38.0023,-57.5575,23.01,74,0,7.6,AR,1670291139
3,port alfred,-33.5906,26.891,13.43,94,100,0.89,ZA,1670291424
4,minab,27.1467,57.0801,22.15,59,99,1.55,IR,1670291425
5,dingle,10.9995,122.6711,28.07,75,29,6.3,PH,1670291427
6,hermanus,-34.4187,19.2345,14.92,72,58,2.53,ZA,1670291433
7,cherskiy,68.75,161.3,-22.41,90,100,2.27,RU,1670291433
8,qaanaaq,77.484,-69.3632,0.54,71,100,6.41,GL,1670291435
9,alofi,-19.0595,-169.9187,28.94,70,75,3.09,NU,1670291438
10,castro,-24.7911,-50.0119,18.81,95,97,1.15,BR,1670291439
11,mapiripan,2.8892,-72.1256,23.98,81,22,2.14,CO,1670291442
12,mataura,-46.1927,168.8643,10.27,38,21,2.63,NZ,1670291443
13,vaini,-21.2,-175.2,29.09,79,75,4.63,TO,1670291443
14,ginir,7.1333,40.7,12.27,39,59,2.03,ET,1670291443
15,busselton,-33.65,115.3333,20.98,40,0,4.87,AU,1670291447
16,dikson,73.5069,80.5464,-5.54,96,100,5.27,RU,1670291399
17,provideniya,64.3833,-173.3,0.2,93,100,15.2,RU,1670291447
18,nikolskoye,59.7035,30.7861,-6.06,87,100,3.79,RU,1670291447
19,itarema,-2.9248,-39.9167,26.27,78,9,7.55,BR,1670291448
20,cape town,-33.9258,18.4232,17.17,73,0,3.6,ZA,1670291282
21,lebu,-37.6167,-73.65,14.38,89,1,1.15,CL,1670291448
22,parakan,-6.4191,106.0081,25.22,88,100,0.66,ID,1670291448
23,san patricio,28.017,-97.5169,22.69,86,29,5.62,US,1670291449
24,bredasdorp,-34.5322,20.0403,13.47,74,99,1.12,ZA,1670291449
25,axim,4.8699,-2.2405,25.81,87,63,2.29,GH,1670291452
26,kapaa,22.0752,-159.319,26.18,88,100,6.17,US,1670291453
27,albany,42.6001,-73.9662,3.66,55,96,0.45,US,1670291453
28,punta arenas,-53.15,-70.9167,6.06,56,40,6.69,CL,1670291239
29,vao,-22.6667,167.4833,25.54,86,81,4.66,NC,1670291453
30,aksu,41.1231,80.2644,-4.17,34,100,1.1,CN,1670291454
31,salalah,17.0151,54.0924,21.85,68,7,2.03,OM,1670291454
32,broome,42.2506,-75.833,3.16,67,0,5.14,US,1670291454
33,tura,25.5198,90.2201,18.33,75,0,1.16,IN,1670291455
34,fortuna,40.5982,-124.1573,8.32,92,0,1.54,US,1670291455
35,katsuura,35.1333,140.3,8.98,91,100,8.73,JP,1670291240
36,codrington,-38.2667,141.9667,16.66,58,36,3.86,AU,1670291456
37,geraldton,-28.7667,114.6,25.23,53,0,7.72,AU,1670291456
38,upernavik,72.7868,-56.1549,-2.59,63,63,4.69,GL,1670291456
39,tuktoyaktuk,69.4541,-133.0374,-27.0,63,75,10.8,CA,1670291456
40,khatanga,71.9667,102.5,-25.17,89,100,4.67,RU,1670291457
41,ilulissat,69.2167,-51.1,-2.7,67,53,5.5,GL,1670291457
42,riviere-du-loup,47.8304,-69.5342,3.15,52,98,3.09,CA,1670291461
43,carnarvon,-24.8667,113.6333,23.14,62,38,7.21,AU,1670291461
44,tomatlan,19.9333,-105.25,22.49,89,5,0.55,MX,1670291311
45,nanortalik,60.1432,-45.2371,1.91,78,100,6.76,GL,1670291461
46,qasigiannguit,68.8193,-51.1922,-2.46,70,70,4.83,GL,1670291462
47,corowa,-36.0333,146.3833,24.76,49,17,2.83,AU,1670291462
48,norman wells,65.282,-126.8329,-27.98,76,20,5.14,CA,1670291462
49,charters towers,-20.1,146.2667,33.57,23,0,0.98,AU,1670291463
50,hami,42.8,93.45,-5.0,41,100,1.82,CN,1670291463
51,vostok,46.4856,135.8833,-13.56,78,71,3.63,RU,1670291463
52,tasiilaq,65.6145,-37.6368,-9.15,58,8,1.87,GL,1670291464
53,tezu,27.9167,96.1667,20.05,35,0,0.55,IN,1670291464
54,kodiak,57.79,-152.4072,0.73,93,40,2.57,US,1670291464
55,tottori,35.5,134.2333,10.04,50,75,4.12,JP,1670291358
56,hilo,19.7297,-155.09,26.85,76,20,3.6,US,1670291465
57,longyearbyen,78.2186,15.6401,-20.98,91,32,3.71,SJ,1670291465
58,humaita,-7.5061,-63.0208,22.34,99,100,0.93,BR,1670291465
59,mount isa,-20.7333,139.5,36.87,15,0,3.6,AU,1670291321
60,puerto escondido,15.85,-97.0667,25.07,67,0,1.63,MX,1670291469
61,gold coast,-28.0,153.4333,35.13,39,0,5.66,AU,1670291424
62,popondetta,-8.7537,148.2534,30.03,67,96,1.89,PG,1670291469
63,comagascas,9.1397,125.5597,29.2,68,97,0.85,PH,1670291472
64,esmeraldas,-19.7625,-44.3139,21.48,92,100,1.88,BR,1670291473
65,chivay,-15.6383,-71.6011,5.63,86,100,1.65,PE,1670291473
66,vila franca do campo,37.7167,-25.4333,17.23,83,61,3.46,PT,1670291473
67,puerto ayora,-0.7393,-90.3518,20.86,95,22,2.68,EC,1670291477
68,campo formoso,-10.5075,-40.3214,19.59,96,70,3.24,BR,1670291477
69,mauriti,-7.3892,-38.7744,22.92,79,46,1.05,BR,1670291477
70,bluff,-46.6,168.3333,10.45,56,9,4.26,NZ,1670291478
71,lompoc,34.6391,-120.4579,13.23,89,0,2.57,US,1670291315
72,general roca,-39.0333,-67.5833,27.01,33,0,8.15,AR,1670291478
73,huarmey,-10.0681,-78.1522,19.0,86,43,3.21,PE,1670291479
74,riyadh,24.6877,46.7219,20.08,43,6,4.12,SA,1670291182
75,anito,12.4497,125.2886,28.37,73,59,3.8,PH,1670291479
76,lubu,23.1742,112.2809,12.6,64,3,1.38,CN,1670291482
77,starosubkhangulovo,53.1031,57.4423,-19.21,97,13,1.57,RU,1670291483
78,anadyr,64.75,177.4833,-0.72,100,100,23.0,RU,1670291483
79,kaitangata,-46.2817,169.8464,14.39,45,37,6.01,NZ,1670291483
80,sakaiminato,35.55,133.2333,9.96,66,75,4.63,JP,1670291484
81,rikitea,-23.1203,-134.9692,24.1,81,100,5.93,PF,1670291484
82,luderitz,-26.6481,15.1594,14.55,75,49,7.88,NA,1670291485
83,hithadhoo,-0.6,73.0833,27.35,74,100,4.0,MV,1670291485
84,margate,51.3813,1.3862,7.61,84,96,1.34,GB,1670291485
85,svetlogorsk,52.6333,29.7333,-8.89,90,93,4.23,BY,1670291485
86,dunedin,-45.8742,170.5036,11.56,74,100,3.58,NZ,1670291486
87,jamestown,42.097,-79.2353,6.77,42,0,4.12,US,1670291467
88,beira,-19.8436,34.8389,25.05,100,20,1.54,MZ,1670291486
89,chokurdakh,70.6333,147.9167,-40.34,100,40,1.57,RU,1670291236
90,springfield,37.2153,-93.2982,9.43,88,100,2.06,US,1670291298
91,avarua,-21.2078,-159.775,25.03,83,100,3.09,CK,1670291487
92,ribeira grande,38.5167,-28.7,15.43,84,100,8.94,PT,1670291491
93,butaritari,3.0707,172.7902,27.07,81,100,6.85,KI,1670291491
94,warrnambool,-38.3833,142.4833,15.67,66,62,3.25,AU,1670291491
95,poronaysk,49.2167,143.1167,-5.77,65,31,6.19,RU,1670291373
96,roros,62.5747,11.3842,-8.09,86,100,5.14,NO,1670291492
97,kavaratti,10.5669,72.642,27.8,67,91,1.84,IN,1670291492
98,ola,59.5833,151.2833,-22.71,90,29,3.07,RU,1670291492
99,zheleznodorozhnyy,55.7503,38.0042,-9.76,85,100,2.97,RU,1670291493
100,iqaluit,63.7506,-68.5145,-13.15,78,100,1.03,CA,1670291493
101,ukiah,39.1502,-123.2078,9.94,85,40,2.57,US,1670291493
102,banda aceh,5.5577,95.3222,25.83,79,98,2.05,ID,1670291494
103,sao joao da barra,-21.6403,-41.0511,23.57,85,100,10.12,BR,1670291494
104,koslan,63.4564,48.8989,-13.26,96,75,2.86,RU,1670291494
105,blythe,33.6103,-114.5964,18.25,34,0,3.6,US,1670291494
106,hobart,-42.8794,147.3294,16.26,57,75,8.23,AU,1670291409
107,biryusinsk,55.9634,97.8235,-14.29,79,96,6.41,RU,1670291495
108,chapais,49.7834,-74.8492,-9.12,97,100,2.16,CA,1670291495
109,goderich,43.7501,-81.7165,5.18,45,100,5.14,CA,1670291495
110,gamba,-2.65,10.0,25.12,85,100,2.87,GA,1670291499
111,nynashamn,58.9034,17.9479,-2.13,78,100,3.34,SE,1670291499
112,acapulco,16.8634,-99.8901,25.42,79,0,2.23,MX,1670291334
113,vila,42.0304,-8.1588,4.49,92,88,1.09,PT,1670291502
114,sitka,57.0531,-135.33,2.94,87,100,1.54,US,1670291332
115,mahebourg,-20.4081,57.7,23.16,88,75,2.57,MU,1670291503
116,viedma,-40.8135,-62.9967,25.11,44,100,5.37,AR,1670291503
117,quatre cocos,-20.2078,57.7625,23.06,80,66,7.0,MU,1670291507
118,praia,14.9215,-23.5087,21.3,68,75,2.57,CV,1670291507
119,new norfolk,-42.7826,147.0587,16.07,46,48,1.79,AU,1670291507
120,tirumullaivasal,11.2333,79.8333,25.52,75,87,4.78,IN,1670291508
121,barrow,71.2906,-156.7887,-2.99,74,40,11.32,US,1670291508
122,kapit,2.0167,112.9333,29.52,69,100,0.39,MY,1670291508
123,sumbe,-11.2061,13.8437,24.62,88,100,0.28,AO,1670291509
124,port elizabeth,-33.918,25.5701,16.16,87,20,4.63,ZA,1670291509
125,bethel,41.3712,-73.414,3.95,75,0,0.0,US,1670291512
126,richards bay,-28.783,32.0377,20.28,82,98,5.04,ZA,1670291513
127,copiapo,-27.3667,-70.3333,14.83,54,0,0.19,CL,1670291367
128,gushikawa,26.3544,127.8686,20.57,80,75,6.69,JP,1670291513
129,pundaguitan,6.3711,126.1689,27.41,78,96,4.32,PH,1670291513
130,ranfurly,-45.1333,170.1,8.64,86,100,2.95,NZ,1670291514
131,pangkalanbuun,-2.6833,111.6167,28.54,77,100,0.89,ID,1670291514
132,agadez,19.75,10.25,20.7,22,57,4.17,NE,1670291514
133,clinton,42.587,-82.9199,6.64,61,100,3.09,US,1670291515
134,bengkulu,-3.8004,102.2655,26.69,77,100,0.58,ID,1670291515
135,bonthe,7.5264,-12.505,25.71,85,40,0.8,SL,1670291515
136,samarai,-10.6167,150.6667,28.78,68,95,3.56,PG,1670291516
137,sibolga,1.7427,98.7792,26.94,74,100,0.23,ID,1670291516
138,klyuchi,52.2667,79.1667,-21.8,99,87,2.05,RU,1670291516
139,russell,32.3502,-85.1999,18.31,94,0,0.0,US,1670291517
140,srednekolymsk,67.45,153.6833,-32.66,98,100,1.65,RU,1670291517
141,zhanakorgan,43.9098,67.2495,-12.98,89,40,1.7,KZ,1670291520
142,arcachon,44.5875,-1.0519,8.03,76,0,2.57,FR,1670291521
143,yellowknife,62.456,-114.3525,-34.69,75,0,4.63,CA,1670291405
144,clyde river,70.4692,-68.5914,-8.87,100,100,1.03,CA,1670291521
145,thompson,55.7435,-97.8558,-31.91,75,0,2.06,CA,1670291458
146,buluang,13.3068,123.3425,29.58,59,98,1.26,PH,1670291522
147,iberia,29.9502,-91.7507,21.13,94,0,1.54,US,1670291522
148,thayetmyo,19.3167,95.1833,24.92,62,95,2.01,MM,1670291522
149,belaya gora,68.5333,146.4167,-40.81,96,36,0.45,RU,1670291523
150,bubaque,11.2833,-15.8333,26.73,72,9,4.14,GW,1670291523
151,aromashevo,56.8602,68.6375,-22.08,100,96,1.44,RU,1670291523
152,haines junction,60.7522,-137.5108,-21.03,77,67,0.51,CA,1670291524
153,kruisfontein,-34.0033,24.7314,13.82,81,100,3.65,ZA,1670291524
154,sidi ali,36.0998,0.4206,14.99,74,100,3.59,DZ,1670291524
155,yulara,-25.2406,130.9889,39.41,9,3,9.2,AU,1670291525
156,ambilobe,-13.2,49.05,22.99,87,3,1.15,MG,1670291525
157,malanje,-9.5402,16.341,16.21,98,64,1.34,AO,1670291528
158,kavieng,-2.5744,150.7967,28.77,69,68,0.47,PG,1670291529
159,tall kayf,37.0833,41.0667,9.94,72,11,1.5,TR,1670291532
160,rio gallegos,-51.6226,-69.2181,10.03,40,75,6.17,AR,1670291438
161,korla,41.7597,86.1469,-4.54,42,100,2.59,CN,1670291533
162,yakymivka,46.6897,35.1536,-1.27,74,77,7.29,UA,1670291533
163,georgetown,5.4112,100.3354,28.96,85,20,2.68,MY,1670291533
164,halifax,44.6453,-63.5724,2.0,78,50,2.06,CA,1670291359
165,cidreira,-30.1811,-50.2056,21.78,92,100,3.61,BR,1670291537
166,amapa,1.0,-52.0,22.09,96,97,0.42,BR,1670291255
167,cabo san lucas,22.8909,-109.9124,26.4,70,20,2.57,MX,1670291323
168,hay river,60.8156,-115.7999,-29.01,76,20,5.14,CA,1670291329
169,banting,2.8167,101.5,29.37,83,79,1.56,MY,1670291537
170,pacific grove,36.6177,-121.9166,13.06,86,0,2.68,US,1670291538
171,robertsport,6.7533,-11.3686,26.29,81,83,0.94,LR,1670291538
172,saint anthony,45.0205,-93.218,-4.03,60,100,5.14,US,1670291538
173,redlands,34.0556,-117.1825,13.53,69,75,4.63,US,1670291539
174,saryg-sep,51.5,95.6,-30.29,98,99,0.91,RU,1670291539
175,solnechnyy,50.7214,136.6319,-15.41,74,100,1.65,RU,1670291542
176,taoudenni,22.6783,-3.9836,25.19,21,1,2.33,ML,1670291543
177,saint george,37.1041,-113.5841,13.02,66,75,3.6,US,1670291543
178,okato,-39.2,173.8833,20.51,100,100,3.31,NZ,1670291543
179,souillac,-20.5167,57.5167,23.21,88,75,2.57,MU,1670291544
180,panguna,-6.3164,155.4848,21.91,94,100,1.99,PG,1670291544
181,whitehorse,60.7161,-135.0538,-14.57,85,100,1.54,CA,1670291473
182,torbay,47.6666,-52.7314,4.21,96,100,1.34,CA,1670291419
183,husavik,66.0449,-17.3389,0.1,82,100,3.78,IS,1670291545
184,stornoway,58.2093,-6.3865,4.98,79,100,5.14,GB,1670291545
185,tonantins,-2.8731,-67.8022,23.4,96,100,0.45,BR,1670291545
186,turayf,31.6725,38.6637,9.14,87,0,2.06,SA,1670291546
187,flin flon,54.7682,-101.865,-24.61,94,100,2.7,CA,1670291546
188,thinadhoo,0.5333,72.9333,27.3,74,81,3.49,MV,1670291546
189,dwarka,22.2394,68.9678,22.23,45,0,4.85,IN,1670291547
190,bari sadri,24.4167,74.4667,14.17,60,0,2.46,IN,1670291547
191,arraial do cabo,-22.9661,-42.0278,23.13,89,100,9.86,BR,1670291547
192,loukhi,66.0764,33.0381,-3.45,88,100,5.81,RU,1670291551
193,zeya,53.75,127.2667,-21.95,94,80,0.78,RU,1670291551
194,kokopo,-4.352,152.2633,28.77,67,100,1.94,PG,1670291551
195,ponta do sol,32.6667,-17.1,18.73,74,100,0.81,PT,1670291552
196,marawi,7.9986,124.2928,26.32,65,100,1.27,PH,1670291552
197,port keats,-14.25,129.55,32.41,58,59,5.0,AU,1670291552
198,vardo,70.3705,31.1107,-2.01,93,100,6.69,NO,1670291553
199,brokopondo,4.75,-55.1667,24.54,79,100,2.32,SR,1670291553
200,san quintin,30.4833,-115.95,15.61,75,0,7.43,MX,1670291553
201,vestmannaeyjar,63.4427,-20.2734,3.74,70,29,2.12,IS,1670291554
202,narsaq,60.9167,-46.05,-1.96,71,99,5.54,GL,1670291554
203,birobidzhan,48.8,132.95,-15.51,83,67,2.93,RU,1670291553
204,trincomalee,8.5711,81.2335,26.89,74,100,4.5,LK,1670291555
205,saskylakh,71.9167,114.0833,-24.13,97,100,9.22,RU,1670291555
206,sola,-13.8833,167.55,27.98,70,92,3.5,VU,1670291555
207,east london,-33.0153,27.9116,15.0,79,53,3.73,ZA,1670291559
208,bantry,51.6833,-9.45,8.21,86,100,6.57,IE,1670291559
209,saldanha,-33.0117,17.9442,13.03,82,23,5.03,ZA,1670291562
210,ahipara,-35.1667,173.1667,18.03,85,100,4.03,NZ,1670291563
211,villeta,5.0089,-74.4723,24.34,98,54,1.43,CO,1670291563
212,penarroya-pueblonuevo,38.3,-5.2667,10.22,91,99,0.86,ES,1670291563
213,clarence town,-32.5833,151.7833,24.78,57,92,3.26,AU,1670291567
214,verkhnyaya inta,65.9811,60.3094,-17.25,97,52,2.93,RU,1670291567
215,saquena,-4.6667,-73.5167,24.41,86,100,0.58,PE,1670291567
216,benguela,-12.5763,13.4055,25.53,79,100,1.79,AO,1670291568
217,springbok,-29.6643,17.8865,10.39,68,54,1.91,ZA,1670291568
218,mahon,39.8885,4.2658,12.31,100,0,2.57,ES,1670291568
219,ngorongoro,-3.2397,35.4875,10.58,89,100,1.48,TZ,1670291569
220,el grullo,19.8,-104.2167,20.8,90,18,1.3,MX,1670291569
221,iskateley,67.6803,53.1512,-13.91,93,99,6.06,RU,1670291572
222,mitchell,43.7094,-98.0298,-4.94,81,100,1.54,US,1670291417
223,balsas,-7.5325,-46.0356,24.28,76,56,0.75,BR,1670291573
224,pirgos,35.1167,25.7178,14.79,70,51,4.21,GR,1670291573
225,sao felix do xingu,-6.6447,-51.995,21.36,99,100,0.34,BR,1670291573
226,airai,-8.9266,125.4092,25.21,36,64,1.0,TL,1670291574
227,paamiut,61.994,-49.6678,3.28,80,100,14.97,GL,1670291574
228,nemuro,43.3236,145.575,-0.44,46,0,3.02,JP,1670291574
229,lagoa,39.05,-27.9833,16.0,77,100,11.62,PT,1670291575
230,hovd,48.0056,91.6419,-16.9,79,27,1.63,MN,1670291575
231,port hardy,50.6996,-127.4199,1.1,100,100,1.03,CA,1670291575
232,tulum,20.2167,-87.4667,23.06,81,6,2.84,MX,1670291576
233,suez,29.9737,32.5263,15.33,74,26,3.46,EG,1670291576
234,staryy nadym,65.6118,72.6842,-16.61,97,45,3.43,RU,1670291576
235,hasaki,35.7333,140.8333,7.38,86,100,9.51,JP,1670291577
236,hauterive,46.0901,3.4459,-1.58,92,0,0.69,FR,1670291577
237,salisbury,51.0693,-1.7957,6.12,89,100,5.14,GB,1670291580
238,takhtamygda,54.1,123.5667,-19.39,95,100,0.39,RU,1670291581
239,matay,28.419,30.7792,13.4,83,0,3.34,EG,1670291581
240,hambantota,6.1241,81.1185,23.19,100,20,1.03,LK,1670291581
241,linjiang,41.8069,126.9078,-6.84,57,3,2.68,CN,1670291582
242,esteli,13.0919,-86.3538,17.76,81,41,2.76,NI,1670291338
243,batagay-alyta,67.8006,130.4114,-27.85,98,100,0.99,RU,1670291582
244,bambanglipuro,-7.95,110.2833,28.1,74,100,0.25,ID,1670291583
245,reconquista,-29.15,-59.65,26.22,35,0,4.08,AR,1670291414
246,opuwo,-18.0607,13.84,18.9,37,1,1.69,NA,1670291584
247,nouadhibou,20.931,-17.0347,18.99,82,44,6.69,MR,1670291584
248,parksville,49.3163,-124.3195,3.8,97,100,0.51,CA,1670291485
249,kungurtug,50.5994,97.5228,-27.05,92,8,0.56,RU,1670291585
250,bathsheba,13.2167,-59.5167,23.36,94,20,3.09,BB,1670291585
251,visnes,59.3556,5.2242,2.9,93,20,4.12,NO,1670291589
252,lerwick,60.1545,-1.1494,4.0,66,95,10.78,GB,1670291589
253,yeppoon,-23.1333,150.7333,31.88,47,0,2.61,AU,1670291592
254,arlit,18.7369,7.3853,23.69,17,100,1.71,NE,1670291593
255,jalu,29.0331,21.5482,16.42,37,47,3.43,LY,1670291597
256,maniitsoq,65.4167,-52.9,1.7,86,100,11.17,GL,1670291597
257,bikaner,28.0167,73.3,12.89,32,0,1.3,IN,1670291598
258,buala,-8.145,159.5921,28.7,75,85,2.49,SB,1670291598
259,pevek,69.7008,170.3133,-24.59,83,100,1.3,RU,1670291602
260,teguise,29.0605,-13.564,15.12,88,0,3.6,ES,1670291603
261,mnogovershinnyy,53.9353,139.9242,-18.55,89,99,3.18,RU,1670291603
262,beloha,-25.1667,45.05,24.46,69,7,2.66,MG,1670291604
263,tessalit,20.1986,1.0114,24.06,16,96,4.27,ML,1670291605
264,vila velha,-20.3297,-40.2925,22.97,91,40,3.09,BR,1670291605
265,tupiza,-21.45,-65.7167,13.99,49,54,4.69,BO,1670291607
266,ngunguru,-35.6167,174.5,18.54,76,100,3.31,NZ,1670291610
267,port moresby,-9.4431,147.1797,31.68,58,40,5.14,PG,1670291536
268,vaxjo,56.8777,14.8091,0.03,100,100,3.09,SE,1670291611
269,acevedo,1.8361,-75.855,17.22,97,60,0.61,CO,1670291611
270,katobu,-4.9408,122.5276,30.09,64,100,1.54,ID,1670291612
271,ust-kuyga,70.0167,135.6,-39.06,100,99,0.89,RU,1670291612
272,sokolo,14.7328,-6.1219,27.74,23,95,4.47,ML,1670291612
273,rawson,-43.3002,-65.1023,20.7,46,23,3.58,AR,1670291613
274,sevsk,52.1491,34.4926,-6.92,61,100,4.09,RU,1670291613
275,menongue,-14.6585,17.691,17.32,90,97,1.18,AO,1670291613
276,harseni,45.75,25.0167,-0.41,78,98,1.35,RO,1670291614
277,ginda,30.6945,78.4932,7.46,14,98,2.99,IN,1670291614
278,kununurra,-15.7667,128.7333,33.99,62,40,2.57,AU,1670291614
279,luwuk,-0.9516,122.7875,29.8,59,100,2.74,ID,1670291615
280,mahdasht,35.7299,50.8111,3.12,100,100,2.06,IR,1670291615
281,petropavlovka,50.6114,105.3196,-17.13,79,100,2.54,RU,1670291615
282,de-kastri,51.4667,140.7833,-12.03,69,33,1.97,RU,1670291619
283,dawlatabad,36.4141,64.9053,-0.44,80,100,2.34,AF,1670291619
